Genes	Modules
ENSMUSG00000008892	grey
ENSMUSG00000009291	grey
ENSMUSG00000009555	grey
ENSMUSG00000009863	grey
ENSMUSG00000013593	grey
ENSMUSG00000014195	grey
ENSMUSG00000015087	grey
ENSMUSG00000015090	grey
ENSMUSG00000015165	grey
ENSMUSG00000015189	grey
ENSMUSG00000015656	grey
ENSMUSG00000015714	grey
ENSMUSG00000015759	grey
ENSMUSG00000015889	grey
ENSMUSG00000016256	grey
ENSMUSG00000016487	grey
ENSMUSG00000016619	grey
ENSMUSG00000017428	grey
ENSMUSG00000017466	grey
ENSMUSG00000017493	grey
ENSMUSG00000018326	grey
ENSMUSG00000018379	grey
ENSMUSG00000018446	grey
ENSMUSG00000018474	grey
ENSMUSG00000018583	grey
ENSMUSG00000019370	grey
ENSMUSG00000019428	grey
ENSMUSG00000019433	grey
ENSMUSG00000019505	grey
ENSMUSG00000019528	grey
ENSMUSG00000019777	grey
ENSMUSG00000019916	grey
ENSMUSG00000019929	grey
ENSMUSG00000019942	grey
ENSMUSG00000019960	grey
ENSMUSG00000020023	grey
ENSMUSG00000020048	grey
ENSMUSG00000020321	grey
ENSMUSG00000020326	grey
ENSMUSG00000020361	grey
ENSMUSG00000020368	grey
ENSMUSG00000020390	grey
ENSMUSG00000020427	grey
ENSMUSG00000020432	grey
ENSMUSG00000020457	grey
ENSMUSG00000020476	grey
ENSMUSG00000020483	grey
ENSMUSG00000020571	grey
ENSMUSG00000020572	grey
ENSMUSG00000020580	grey
ENSMUSG00000020585	grey
ENSMUSG00000020594	grey
ENSMUSG00000020629	grey
ENSMUSG00000020641	grey
ENSMUSG00000020649	grey
ENSMUSG00000020708	grey
ENSMUSG00000020817	grey
ENSMUSG00000020849	grey
ENSMUSG00000020978	grey
ENSMUSG00000020994	grey
ENSMUSG00000021114	grey
ENSMUSG00000021178	grey
ENSMUSG00000021270	grey
ENSMUSG00000021273	grey
ENSMUSG00000021288	grey
ENSMUSG00000021306	grey
ENSMUSG00000021339	grey
ENSMUSG00000021484	grey
ENSMUSG00000021771	grey
ENSMUSG00000021910	grey
ENSMUSG00000021939	grey
ENSMUSG00000021957	grey
ENSMUSG00000021996	grey
ENSMUSG00000022010	grey
ENSMUSG00000022043	grey
ENSMUSG00000022136	grey
ENSMUSG00000022186	grey
ENSMUSG00000022205	grey
ENSMUSG00000022234	grey
ENSMUSG00000022255	grey
ENSMUSG00000022283	grey
ENSMUSG00000022300	grey
ENSMUSG00000022351	grey
ENSMUSG00000022365	grey
ENSMUSG00000022389	grey
ENSMUSG00000022391	grey
ENSMUSG00000022440	grey
ENSMUSG00000022451	grey
ENSMUSG00000022463	grey
ENSMUSG00000022477	grey
ENSMUSG00000022516	grey
ENSMUSG00000022551	grey
ENSMUSG00000022710	grey
ENSMUSG00000022791	grey
ENSMUSG00000022816	grey
ENSMUSG00000022836	grey
ENSMUSG00000022858	grey
ENSMUSG00000022884	grey
ENSMUSG00000022890	grey
ENSMUSG00000022893	grey
ENSMUSG00000023015	grey
ENSMUSG00000023021	grey
ENSMUSG00000023032	grey
ENSMUSG00000023033	grey
ENSMUSG00000023495	grey
ENSMUSG00000023505	grey
ENSMUSG00000023944	grey
ENSMUSG00000024012	grey
ENSMUSG00000024121	grey
ENSMUSG00000024213	grey
ENSMUSG00000024261	grey
ENSMUSG00000024286	grey
ENSMUSG00000024378	grey
ENSMUSG00000024425	grey
ENSMUSG00000024474	grey
ENSMUSG00000024646	grey
ENSMUSG00000024780	grey
ENSMUSG00000024806	grey
ENSMUSG00000024966	grey
ENSMUSG00000024974	grey
ENSMUSG00000024997	grey
ENSMUSG00000025066	grey
ENSMUSG00000025162	grey
ENSMUSG00000025203	grey
ENSMUSG00000025232	grey
ENSMUSG00000025270	grey
ENSMUSG00000025364	grey
ENSMUSG00000025393	grey
ENSMUSG00000025487	grey
ENSMUSG00000025534	grey
ENSMUSG00000025745	grey
ENSMUSG00000025889	grey
ENSMUSG00000025935	grey
ENSMUSG00000025968	grey
ENSMUSG00000025969	grey
ENSMUSG00000026021	grey
ENSMUSG00000026043	grey
ENSMUSG00000026150	grey
ENSMUSG00000026193	grey
ENSMUSG00000026229	grey
ENSMUSG00000026234	grey
ENSMUSG00000026238	grey
ENSMUSG00000026307	grey
ENSMUSG00000026385	grey
ENSMUSG00000026566	grey
ENSMUSG00000026600	grey
ENSMUSG00000026615	grey
ENSMUSG00000026687	grey
ENSMUSG00000026864	grey
ENSMUSG00000026867	grey
ENSMUSG00000026872	grey
ENSMUSG00000026878	grey
ENSMUSG00000026956	grey
ENSMUSG00000026970	grey
ENSMUSG00000026991	grey
ENSMUSG00000027002	grey
ENSMUSG00000027018	grey
ENSMUSG00000027067	grey
ENSMUSG00000027091	grey
ENSMUSG00000027223	grey
ENSMUSG00000027248	grey
