Genes	Modules
ENSMUSG00000030835	black
ENSMUSG00000031007	black
ENSMUSG00000031176	black
ENSMUSG00000031207	black
ENSMUSG00000031309	black
ENSMUSG00000031328	black
ENSMUSG00000031333	black
ENSMUSG00000031386	black
ENSMUSG00000031446	black
ENSMUSG00000031447	black
ENSMUSG00000031483	black
ENSMUSG00000031523	black
ENSMUSG00000031529	black
ENSMUSG00000031530	black
ENSMUSG00000031555	black
ENSMUSG00000031575	black
ENSMUSG00000031591	black
ENSMUSG00000031660	black
ENSMUSG00000031696	black
ENSMUSG00000031715	black
ENSMUSG00000031865	black
ENSMUSG00000031885	black
ENSMUSG00000031918	black
ENSMUSG00000031924	black
ENSMUSG00000031996	black
ENSMUSG00000032035	black
ENSMUSG00000032116	black
ENSMUSG00000032178	black
ENSMUSG00000032216	black
ENSMUSG00000032293	black
ENSMUSG00000032336	black
ENSMUSG00000032340	black
ENSMUSG00000032423	black
ENSMUSG00000032481	black
ENSMUSG00000032504	black
ENSMUSG00000032555	black
ENSMUSG00000032637	black
ENSMUSG00000032803	black
ENSMUSG00000033161	black
ENSMUSG00000033184	black
ENSMUSG00000033228	black
ENSMUSG00000033278	black
ENSMUSG00000033732	black
ENSMUSG00000033953	black
ENSMUSG00000034075	black
ENSMUSG00000034088	black
ENSMUSG00000034120	black
ENSMUSG00000034158	black
ENSMUSG00000034252	black
ENSMUSG00000034290	black
ENSMUSG00000034354	black
ENSMUSG00000034667	black
ENSMUSG00000034714	black
ENSMUSG00000034820	black
ENSMUSG00000034832	black
ENSMUSG00000034850	black
ENSMUSG00000035093	black
ENSMUSG00000035109	black
ENSMUSG00000035152	black
ENSMUSG00000035168	black
ENSMUSG00000035212	black
ENSMUSG00000035325	black
ENSMUSG00000035597	black
ENSMUSG00000035901	black
ENSMUSG00000036053	black
ENSMUSG00000036180	black
ENSMUSG00000036402	black
ENSMUSG00000036550	black
ENSMUSG00000036606	black
ENSMUSG00000036620	black
ENSMUSG00000036707	black
ENSMUSG00000037119	black
ENSMUSG00000037236	black
ENSMUSG00000037242	black
ENSMUSG00000037351	black
ENSMUSG00000037364	black
ENSMUSG00000037458	black
ENSMUSG00000037503	black
ENSMUSG00000037519	black
ENSMUSG00000037608	black
ENSMUSG00000037742	black
ENSMUSG00000037815	black
ENSMUSG00000037851	black
ENSMUSG00000037876	black
ENSMUSG00000037965	black
ENSMUSG00000038084	black
ENSMUSG00000038127	black
ENSMUSG00000038172	black
ENSMUSG00000038301	black
ENSMUSG00000038406	black
ENSMUSG00000038446	black
ENSMUSG00000038507	black
ENSMUSG00000038545	black
ENSMUSG00000038759	black
ENSMUSG00000038970	black
ENSMUSG00000038991	black
ENSMUSG00000039000	black
ENSMUSG00000039100	black
ENSMUSG00000039108	black
ENSMUSG00000039262	black
ENSMUSG00000039361	black
ENSMUSG00000039367	black
ENSMUSG00000039536	black
ENSMUSG00000039630	black
ENSMUSG00000039852	black
ENSMUSG00000039952	black
ENSMUSG00000039959	black
ENSMUSG00000040010	black
ENSMUSG00000040054	black
ENSMUSG00000040151	black
ENSMUSG00000040234	black
ENSMUSG00000040242	black
ENSMUSG00000040250	black
ENSMUSG00000040351	black
ENSMUSG00000040459	black
ENSMUSG00000040463	black
ENSMUSG00000040549	black
ENSMUSG00000040725	black
ENSMUSG00000040761	black
ENSMUSG00000040848	black
ENSMUSG00000040850	black
ENSMUSG00000040940	black
ENSMUSG00000041313	black
ENSMUSG00000041408	black
ENSMUSG00000041431	black
ENSMUSG00000041734	black
ENSMUSG00000041740	black
ENSMUSG00000041763	black
ENSMUSG00000041936	black
ENSMUSG00000041997	black
ENSMUSG00000042079	black
ENSMUSG00000042331	black
ENSMUSG00000042354	black
ENSMUSG00000042410	black
ENSMUSG00000042423	black
ENSMUSG00000042520	black
ENSMUSG00000042548	black
ENSMUSG00000042688	black
ENSMUSG00000042699	black
ENSMUSG00000042772	black
ENSMUSG00000043131	black
ENSMUSG00000043733	black
ENSMUSG00000043962	black
ENSMUSG00000044042	black
ENSMUSG00000044308	black
ENSMUSG00000045482	black
ENSMUSG00000046062	black
ENSMUSG00000046434	black
ENSMUSG00000046985	black
ENSMUSG00000047036	black
ENSMUSG00000047126	black
ENSMUSG00000047187	black
ENSMUSG00000047213	black
ENSMUSG00000047879	black
ENSMUSG00000048154	black
ENSMUSG00000048865	black
ENSMUSG00000048874	black
ENSMUSG00000049327	black
ENSMUSG00000049470	black
ENSMUSG00000049553	black
ENSMUSG00000050697	black
ENSMUSG00000051223	black
ENSMUSG00000051469	black
ENSMUSG00000052144	black
ENSMUSG00000052298	black
ENSMUSG00000052337	black
ENSMUSG00000052681	black
ENSMUSG00000052997	black
ENSMUSG00000053110	black
ENSMUSG00000053510	black
ENSMUSG00000053931	black
ENSMUSG00000054408	black
ENSMUSG00000055053	black
ENSMUSG00000055320	black
ENSMUSG00000055371	black
ENSMUSG00000055531	black
ENSMUSG00000056076	black
ENSMUSG00000056429	black
ENSMUSG00000056770	black
ENSMUSG00000056820	black
ENSMUSG00000056851	black
ENSMUSG00000056966	black
ENSMUSG00000057230	black
ENSMUSG00000057554	black
ENSMUSG00000058013	black
ENSMUSG00000058301	black
ENSMUSG00000058355	black
ENSMUSG00000058793	black
ENSMUSG00000058835	black
ENSMUSG00000059005	black
ENSMUSG00000059208	black
ENSMUSG00000059263	black
ENSMUSG00000059495	black
ENSMUSG00000061136	black
ENSMUSG00000061665	black
ENSMUSG00000061950	black
ENSMUSG00000062014	black
ENSMUSG00000062078	black
ENSMUSG00000062232	black
ENSMUSG00000062604	black
ENSMUSG00000062937	black
ENSMUSG00000063015	black
ENSMUSG00000063550	black
ENSMUSG00000063870	black
ENSMUSG00000064351	black
ENSMUSG00000065954	black
ENSMUSG00000066036	black
ENSMUSG00000066037	black
ENSMUSG00000066232	black
ENSMUSG00000066324	black
ENSMUSG00000066551	black
ENSMUSG00000066568	black
ENSMUSG00000067851	black
ENSMUSG00000068823	black
ENSMUSG00000070348	black
ENSMUSG00000071646	black
ENSMUSG00000071665	black
ENSMUSG00000072825	black
ENSMUSG00000073643	black
ENSMUSG00000074698	black
ENSMUSG00000074802	black
ENSMUSG00000075470	black
ENSMUSG00000075700	black
ENSMUSG00000076432	black
ENSMUSG00000078578	black
ENSMUSG00000078622	black
ENSMUSG00000078652	black
ENSMUSG00000079477	black
ENSMUSG00000085396	black
ENSMUSG00000085438	black
ENSMUSG00000091243	black
ENSMUSG00000102869	black
ENSMUSG00000105987	black
